WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_311		furniture_rooms	patio (espacio de casa)	patio	patio		patio		*
item_312	item_184	furniture_rooms	puerta	gate	door				
item_313	item_185	furniture_rooms	recámara	bedroom	bedroom				
item_314	item_186	furniture_rooms	refrigerador	refrigerator	refrigerator				
item_315	item_187	furniture_rooms	regadera/ducha	watering can	shower				
item_316	item_188	furniture_rooms	ropero/closet	closet	closet				
item_317	item_189	furniture_rooms	sala	living room	living room				
item_318		furniture_rooms	secadora (hogar - línea blanca)	tumble dryer	dryer		dryer		*
item_319	item_190	furniture_rooms	silla	chair	chair				
item_320		furniture_rooms	sillón	lounge chair			couch	I suggest couch as a new_uni_lemma	*
item_321	item_191	furniture_rooms	sofá	sofa	couch				
item_322	item_192	furniture_rooms	televisión	television	tv		TV		
item_323	item_193	furniture_rooms	tina	tub	bathtub				
item_324	item_194	furniture_rooms	ventana	window	window				
item_325		places	banco (lugar servicios comerciales)	bank	bank		bank		
item_326		places	bosque	forest	forest		forest		
item_327		places	calle	street	street		street		
item_328		places	campo	field	field		field		
item_329		places	casa	home	home		home		
item_330		places	cerro	hill	hill		hill		
item_331		places	cine	movie theater	movie theater		movie		
item_332		places	circo	circus	circus		circus		
item_333		places	escuela	school	school		school		
item_334		places	fábrica	factory	factory		factory		
item_335		places	fiesta	party	party		party		
item_336		places	hospital/clínica	hospital	hospital		hospital		
item_337		places	iglesia/templo	church	church		church		
item_338		places	jardín	garden	garden		garden		
item_339		places	oficina	office	office		office		
item_340		places	parque	park	park		park		
item_341		places	patio (espacio abierto o jardín)	playground	playground		yard	yard/garden sounds better for both; new_unilemma and new_gloss (instead of playground)	*
item_342		places	playa	beach	beach		beach		
item_343		places	rancho	ranch	ranch		ranch		
item_344		places	río 	river	river		river		
item_345		places	tienda/mercado	market	market		market		
item_346		places	zoológico	zoo	zoo		zoo		
item_347	item_221	people	abuela	grandmother	grandma				
item_348	item_222	people	abuelo	grandfather	grandpa				
item_349		people	amiga	female friend	friend		friend		
item_350		people	amigo	male friend	friend		friend		
item_351	item_223	people	bebé	baby	baby				
item_352		people	cura (sacerdote)	cure		priest	priest	I suggest priest instead of cure as new_gloss and new_uni_lemma	*
item_353		people	doctor	doctor	doctor		doctor		
item_354		people	enfermera	nurse	nurse	female nurse	nurse		*
item_355	item_224	people	familia	family	family				
item_356	item_225	people	hermana	sister	sister				
item_357	item_226	people	hermano	brother	brother				
item_358	item_227	people	madrina	godmother	godmother				
item_359	item_228	people	maestra 	teacher	teacher				
item_360		people	mamá	mommy	mommy				
item_361	item_230	people	nana	babysitter	babysitter				
item_362	item_232	people	niña	girl	girl				
item_363	item_231	people	niño	boy	boy				
item_364	item_233	people	(nombre del niño/a)	child's own name	child's own name				
item_365	item_234	people	padrino	godfather	godfather				
item_366		people	papá	daddy	daddy				
item_367		people	payaso	clown	clown				
item_368	item_236	people	persona	person	person				
item_369		people	policía	police	police				
item_370		people	prima	female cousin	cousin		cousin		
item_371		people	primo	male cousin	cousin		cousin		
item_372	item_237	people	señor	man	man				
item_373	item_238	people	señora	woman	woman				
item_374	item_239	people	tía	aunt	aunt				
item_375	item_240	people	tío	uncle	uncle				
item_376	item_241	games_routines	acerrín	sawdust (game)	kid's song				
item_377	item_242	games_routines	adíos/byebye	bye bye	bye			typo in the word "adíos"; instead should be "adiós"	*
item_378		games_routines	ahí te voy	I'm going there		here I come		new gloss suggestion	*
item_379		games_routines	al agua patos...	ducks to water		jump right in		new gloss suggestion	*
item_380		games_routines	a ver...	let's see					
item_381	item_243	games_routines	besitos	little kisses	kiss				
item_382		games_routines	bravo	brave		clap	bravo	I suggest clap for both gloss and uni_lemma	*
item_383		games_routines	buenos días	good day	good morning				
item_384	item_245	games_routines	buenas noches	good night	good night				
item_385	item_246	games_routines	cosquillitas	tickles	tickle				
item_386	item_247	games_routines	gracias	thank you	thank you				
item_387	item_249	games_routines	hola	hi	hi				
item_388		games_routines	manos arriba (rutina diaria y/o reglas sociales)	hands up	hands up				
